bracket,round,trial,budget,sample_type,config_batch_size,config_optimizer,config_momentum,config_hidden_size,config_scheduler_p,config_lerning_rate,config_activation,config_weight_decay,sample_loss,sample_acc,x,y
5,0,121,1,random,16,rms,0.1038703907,64,True,0.06005161529,tanh,0.0,4.98250246,0.0625,-1.7945046,1.7677385
5,0,122,1,random,8,sgd,0.9496538298,64,False,0.00578301233,relu,0.0007710479119,2.312998533,0.0625,-15.651454,-8.04702
5,0,123,1,random,32,rms,0.06355930482,64,False,0.006071136594,tanh,0.0,1.789409041,0.3359,-8.712765,7.390197
5,0,124,1,random,32,adam,0.0,16,True,0.006383183681,lrelu,0.0005373378992,1.678758264,0.3906,-1.2978958,15.743351
5,0,125,1,random,8,sgd,0.05756510757,64,False,0.0001802629701,tanh,0.0009390468814,2.206300259,0.1875,-10.832457,-12.699791
5,0,126,1,random,8,adam,0.0,64,True,0.003097763824,relu,0.0,1.083030462,0.7109,-9.800273,-7.272063
5,0,127,1,random,8,sgd,0.7980482895,32,False,0.0004929515433,relu,9.21e-05,0.7809317112,0.7344,11.778257,-2.9163032
5,0,128,1,random,16,sgd,0.2094486807,64,True,0.06622736431,relu,0.0004363041044,2.306201935,0.0625,0.24750325,2.1549041
5,0,129,1,random,16,rms,0.3915784111,32,True,0.0007548947642,tanh,0.0009029285083,1.698535085,0.3438,11.488775,-11.594001
5,0,130,1,random,32,adam,0.0,32,True,0.003906317271,relu,0.0005699683273,1.204859972,0.5234,-2.2478724,18.04599
5,0,131,1,random,32,sgd,0.8583122742,32,True,0.0001414092876,relu,0.0,1.569201827,0.4453,3.2650678,14.774329
5,0,132,1,random,8,rms,0.4848552044,64,False,0.05869897908,lrelu,0.0,1544.601318,0.5391,-0.98079866,1.1334745
5,0,133,1,random,32,rms,0.9147762238,64,True,0.05515776214,relu,0.0,3.338842154,0.0938,-2.6664937,5.3979034
5,0,134,1,random,16,rms,0.505936164,16,True,0.0003041852472,tanh,0.0005269383412,2.10014987,0.3047,12.050731,-10.966691
5,0,135,1,random,32,adam,0.0,16,False,0.001987629231,tanh,0.0,2.062551498,0.3516,4.5284534,11.175364
5,0,136,1,random,8,adam,0.0,64,True,0.001244281859,relu,0.000597572988,0.8154217601,0.8125,-12.634474,-9.264148
5,0,137,1,random,16,rms,0.7187776121,32,False,0.09555074846,relu,0.0002005307545,2.33742094,0.0625,22.714886,0.7055562
5,0,138,1,random,8,adam,0.0,32,True,0.0001299755901,relu,0.0004724244958,1.45439899,0.5078,13.662624,0.7323232
5,0,139,1,random,8,sgd,0.2818514758,32,True,0.000285801697,lrelu,0.0008064692276,0.9156012535,0.6797,5.7345304,-11.307448
5,0,140,1,random,8,sgd,0.4150692421,64,True,0.03830039241,relu,0.0001775991208,2.308716297,0.0625,-3.0837102,-6.839004
5,0,141,1,random,16,adam,0.0,64,False,0.04012646252,tanh,0.0004969295712,2.198967457,0.1328,-2.7006717,-4.6484323
5,0,142,1,random,8,adam,0.0,64,True,0.008592583633,relu,0.0,1.250807047,0.5859,-9.243903,-7.365891
5,0,143,1,random,32,sgd,0.5667558435,64,False,0.0003982594829,lrelu,0.0,0.7842642665,0.8047,-6.155903,7.5309744
5,0,144,1,random,32,adam,0.0,32,False,0.001030137399,relu,0.0007833187688,0.7494128346,0.7422,-2.275829,17.944443
5,0,145,1,random,16,rms,0.3848159624,32,True,0.04956982533,tanh,8.57e-05,2.878633261,0.1094,18.427263,-0.86728805
5,0,146,1,random,32,rms,0.08236747512,64,True,0.04311033131,relu,0.0,2.231438637,0.1328,-2.7865415,5.581978
5,0,147,1,random,8,sgd,0.1797414739,32,True,0.004477525867,relu,0.0,2.020723104,0.2344,11.981107,-2.8008916
5,0,148,1,random,8,adam,0.0,64,False,0.01077509931,lrelu,0.0,0.9964549541,0.6953,-6.904446,-7.809125
5,0,149,1,random,8,sgd,0.4375842314,16,True,0.03628773702,tanh,0.000660915553,2.279933929,0.1406,11.142171,-13.974791
5,0,150,1,random,32,sgd,0.3995617497,64,False,0.00076369237,tanh,0.0,2.168279886,0.1875,-7.494325,6.3662696
5,0,151,1,random,32,adam,0.0,64,True,0.0009953249488,tanh,0.0007594639058,1.256249666,0.7656,-14.777287,6.6421633
5,0,152,1,random,32,adam,0.0,64,False,0.002906624254,relu,0.0001830581175,0.8106150031,0.75,-11.6638,8.41881
5,0,153,1,random,8,adam,0.0,32,False,0.004366962702,relu,0.0,1.568895698,0.4453,13.766926,2.2908196
5,0,154,1,random,16,sgd,0.4250805294,16,False,0.0005209304927,lrelu,0.0003035350706,2.003997087,0.2656,7.1706347,-5.434653
5,0,155,1,random,16,rms,0.9555798298,16,False,0.02565364165,tanh,0.0006029663153,11.63702106,0.1094,11.253933,-12.800725
5,0,156,1,random,16,rms,0.5817715648,64,True,0.001955041528,lrelu,0.0,1.028438687,0.7266,-6.0990396,-4.839116
5,0,157,1,random,16,adam,0.0,32,True,0.070734728,lrelu,0.0,2.395097256,0.3984,20.503336,1.6510367
5,0,158,1,random,16,sgd,0.1977774369,16,True,0.06311113984,relu,0.0003150794366,2.308421135,0.0625,21.475536,0.15523857
5,0,159,1,random,32,adam,0.0,16,False,0.00230940763,tanh,0.000313264006,2.215928316,0.1719,3.8079484,11.301884
5,0,160,1,random,16,adam,0.0,64,False,0.0134661147,tanh,0.0,1.854640007,0.3203,-9.264814,-0.116926685
5,0,161,1,random,16,rms,0.5400688389,64,False,0.0004861567811,tanh,0.0004330663531,1.174503684,0.6172,-11.058149,-3.0300257
5,0,162,1,random,32,adam,0.0,64,False,0.0001077221357,tanh,0.0008457904184,2.058592081,0.3906,-14.915412,6.6779175
5,0,163,1,random,16,sgd,0.3151146782,32,True,0.001231782492,tanh,0.0,2.032912254,0.3438,7.812316,-1.2118391
5,0,164,1,random,8,adam,0.0,16,False,0.009000392505,relu,0.0003153485681,2.309592724,0.0625,12.941707,1.0160936
5,0,165,1,random,32,sgd,0.2977184207,32,True,0.0005218570027,relu,0.0,1.251282215,0.5703,3.2665043,14.7737875
5,0,166,1,random,8,rms,0.6133889235,64,False,0.02611262817,lrelu,0.0,333.4095764,0.5,-5.147437,-6.213137
5,0,167,1,random,16,sgd,0.9931328649,32,True,0.07426069316,lrelu,0.0,,0.0781,20.561394,1.0446774
5,0,168,1,random,32,sgd,0.2898229499,64,True,0.0003294073538,relu,0.0,1.018004775,0.7109,-7.2674785,9.043361
5,0,169,1,random,8,adam,0.0,32,False,0.001250428327,lrelu,0.0,0.5758994222,0.8203,12.612882,5.201428
5,0,170,1,random,16,rms,0.4701736215,16,False,0.08294468427,relu,0.0001489220353,2.325619698,0.1094,22.379644,0.6747853
5,0,171,1,random,16,sgd,0.4223175858,64,True,0.002039580872,tanh,0.0005022368103,1.909942508,0.5156,-9.980945,-12.199055
5,0,172,1,random,32,rms,0.9559781989,64,True,0.0006339657737,tanh,0.0,1.462487936,0.5078,-8.771835,7.315951
5,0,173,1,random,16,adam,0.0,16,True,0.001210351147,lrelu,0.0,1.664026856,0.5,11.460383,6.4687667
5,0,174,1,random,32,adam,0.0,16,False,0.0007708393803,tanh,0.0,2.104966402,0.375,4.4496346,11.029567
5,0,175,1,random,16,rms,0.5651304125,32,False,0.000458188442,lrelu,0.0007773953422,0.7415200472,0.7578,8.51311,-11.056933
5,0,176,1,random,32,adam,0.0,32,False,0.0005122888931,lrelu,0.0,1.263798118,0.5781,1.6079214,11.204818
5,0,177,1,random,32,rms,0.5820201567,64,False,0.0007727837792,relu,0.0001804988002,0.6435462236,0.8359,-9.945835,9.982922
5,0,178,1,random,32,rms,0.2375806682,64,False,0.0003971157468,tanh,0.0001669832932,1.260394931,0.7031,-9.021979,7.455097
5,0,179,1,random,16,rms,0.8879862687,32,False,0.0003077332236,tanh,0.0,1.674815059,0.2969,14.131774,-8.630821
5,0,180,1,random,8,rms,0.1349941916,32,True,0.003050472191,relu,0.0,2.1437819,0.1953,15.132749,-5.516041
5,0,181,1,random,8,adam,0.0,32,False,0.02931987063,tanh,0.00097559392,2.290444613,0.1562,9.338916,-14.385455
5,0,182,1,random,16,adam,0.0,16,True,0.0001203700361,relu,0.0,2.332863808,0.2031,11.881855,2.2668507
5,0,183,1,random,16,sgd,0.3223927401,16,False,0.001328190791,relu,1.18e-05,2.151691198,0.1719,11.644583,-1.4788443
5,0,184,1,random,16,sgd,0.4472809389,16,True,0.0004766053412,relu,0.0009290487385,2.01939559,0.2344,5.2191114,-8.722999
5,0,185,1,random,16,rms,0.3914725794,32,True,0.006852376454,lrelu,0.0002419178504,2.241122961,0.2422,10.543844,-8.030665
5,0,186,1,random,16,rms,0.5786096006,16,True,0.03054151879,lrelu,0.0,183.7315063,0.3516,18.60765,-2.2472796
5,0,187,1,random,32,rms,0.5446135178,32,True,0.003266840651,tanh,0.0006840411393,1.658149838,0.3438,-3.2876484,15.080138
5,0,188,1,random,16,sgd,0.4090191512,32,True,0.002305548127,relu,0.0,1.772565484,0.3047,11.175938,-2.207729
5,0,189,1,random,16,sgd,0.3777453087,16,True,0.001155251047,tanh,0.0004942927729,2.190898657,0.2422,6.6073003,-0.63114935
5,0,190,1,random,16,sgd,0.1426622219,16,False,0.0001402037588,tanh,0.000157169153,2.31409812,0.0625,7.3786664,-0.3544054
5,0,191,1,random,16,rms,0.07506290428,32,False,0.02523037332,lrelu,0.0,2.301056623,0.375,18.311977,-2.6321578
5,0,192,1,random,8,sgd,0.1883773525,32,False,0.0001101813835,lrelu,0.0,1.468797922,0.5078,8.410042,-4.407131
5,0,193,1,random,8,adam,0.0,16,True,0.0001169771603,relu,0.0002557098826,2.1877985,0.25,12.918202,1.266536
5,0,194,1,random,32,sgd,0.03917316627,64,True,0.001195020493,tanh,0.0,2.145003796,0.2969,-7.4802594,6.364228
5,0,195,1,random,16,sgd,0.01724435317,16,False,0.09390731783,relu,0.0004679779586,2.308845282,0.0625,22.25381,0.30557373
5,0,196,1,random,32,sgd,0.3617566614,64,False,0.01271456827,relu,0.0,2.30074811,0.1094,-6.958393,8.790828
5,0,197,1,random,8,rms,0.6013704,32,False,0.0001711915324,relu,0.0,0.770978868,0.7422,14.929863,-5.7308736
5,0,198,1,random,8,rms,0.2618196811,64,False,0.001948519852,tanh,0.0,1.494249701,0.4531,-8.218095,-2.8700612
5,0,199,1,random,32,sgd,0.2485310419,16,True,0.004415573079,relu,0.0009032716624,2.30556035,0.1094,-0.8737853,17.991783
5,0,200,1,random,32,adam,0.0,32,False,0.006457374825,lrelu,0.0,1.38490963,0.5156,1.8617187,11.31477
5,0,201,1,random,16,sgd,0.9225240525,64,False,0.002477455566,relu,0.000548647495,2.303300619,0.1172,-14.878436,-7.2920046
5,0,202,1,random,8,rms,0.04990214708,32,True,0.0001589747723,tanh,0.0003875101176,1.772583842,0.5703,12.995314,-10.215049
5,0,203,1,random,16,rms,0.009080531177,32,True,0.0001086312736,tanh,0.000470883837,1.925916433,0.4297,12.475374,-10.634057
5,0,204,1,random,8,rms,0.8660172141,64,False,0.03717195508,relu,0.0,2.355018854,0.1094,-3.5208757,-6.1982446
5,0,205,1,random,16,sgd,0.555745783,16,True,0.01853848396,relu,0.0,2.306662798,0.1172,12.751289,-1.3046904
5,0,206,1,random,8,sgd,0.316760623,16,False,0.001465268357,tanh,7.99e-05,2.260674477,0.1328,8.368637,-0.2055955
5,0,207,1,random,32,adam,0.0,16,True,0.002708652504,relu,0.0008133635574,2.180875063,0.1719,-1.7683698,17.687796
5,0,208,1,random,8,adam,0.0,16,True,0.000496390862,lrelu,0.0,1.438899636,0.5078,12.834093,6.2402277
5,0,209,1,random,16,rms,0.858728884,16,True,0.0005542734042,tanh,0.000978038714,2.117714405,0.2188,11.372241,-11.578589
5,0,210,1,random,8,rms,0.8453915914,32,True,0.0005772487315,relu,0.0008547672987,1.721377611,0.3906,7.541042,-9.312166
5,0,211,1,random,16,rms,0.6633591812,64,False,0.02461043162,tanh,0.0,4.474102497,0.1094,-6.4125667,-1.9499264
5,0,212,1,random,16,adam,0.0,64,False,0.06435622367,tanh,0.0,2.494525194,0.1641,-1.5041612,2.7020628
5,0,213,1,random,32,adam,0.0,16,False,0.008240265044,lrelu,0.0,1.717398047,0.3984,2.337875,10.745939
5,0,214,1,random,8,sgd,0.1392746044,16,True,0.007274302494,lrelu,0.0,1.103147984,0.6562,8.822301,-3.8414402
5,0,215,1,random,16,adam,0.0,32,False,0.001445439184,lrelu,0.0,0.7805686593,0.6953,11.184143,5.47544
5,0,216,1,random,32,sgd,0.1814519453,32,True,0.004944823327,relu,0.0002582063488,1.879873753,0.2422,2.6814392,15.017533
5,0,217,1,random,16,sgd,0.1379811774,16,False,0.002566967452,relu,0.0,2.201453924,0.1562,11.705129,-1.46419
5,0,218,1,random,8,adam,0.0,32,False,0.008308685911,lrelu,9.11e-05,1.145235658,0.6953,13.008114,5.1141376
5,0,219,1,random,32,rms,0.2733981145,64,False,0.004600401503,tanh,0.0002475568141,1.560238361,0.3984,-9.131362,7.529432
5,0,220,1,random,8,rms,0.08255838506,32,True,0.0008299644628,relu,0.0,0.9833186269,0.6641,14.944205,-5.6346955
5,0,221,1,random,32,sgd,0.05288580979,64,True,0.0001297982577,relu,0.0007258671988,1.937325835,0.5078,-14.792241,9.876842
5,0,222,1,random,32,rms,0.4814822195,32,True,0.002340313345,lrelu,0.0,1.165336132,0.625,0.09617628,12.62725
5,0,223,1,random,8,rms,0.9903416381,32,True,0.02990225569,lrelu,0.0007113274196,34315340.0,0.4922,9.790392,-12.506643
5,0,224,1,random,16,rms,0.9616313495,64,True,0.000403793764,lrelu,0.0,5.391688824,0.6562,-6.115411,-4.8028655
5,0,225,1,random,8,sgd,0.2778508348,32,True,0.02047176576,relu,0.0,2.304867983,0.0625,13.522438,-1.920273
5,0,226,1,random,32,rms,0.06294908914,64,False,0.0002559034871,relu,0.0004837518641,0.6721819043,0.8125,-11.228466,10.515238
